timestamp,item_id,type,bloom_level,cluster,predicted_confidence,outcome,interval_before,interval_after,ease,reps,time_taken_s
2026-06-28T17:08:41,u1-attending-cloze-01,cloze,remember,microskill-types,100,correct,1,1,2.6,1,12.0
2026-06-28T17:09:52,u2-existential-apply-01,vignette,apply,theory-families,10,missed,0,1,2.18,0,53.1
2026-06-28T17:10:38,u2-cbt-vs-postmodern-compare-01,compare,analyze,theory-families,90,correct,0,1,2.6,1,38.6
2026-06-28T17:11:20,u2-personcentered-stuckbetter-01,explain,understand,theory-families,65,shaky,0,1,2.36,0,25.5
2026-06-28T17:12:16,u1-stance-evaluate-01,explain,evaluate,microskill-types,70,shaky,1,1,2.36,0,40.8
2026-06-28T17:14:05,u2-existential-vs-personcentered-apply-01,compare,apply,theory-families,70,correct,0,1,2.6,1,92.2
2026-06-28T17:16:56,ax-pfa-objectives-recall-01,recall,remember,pfa-frameworks,0,missed,0,1,2.18,0,157.7
2026-06-28T17:17:28,ax-pfa-coreactions-analyze-01,vignette,analyze,pfa-frameworks,10,missed,0,1,2.18,0,24.1
2026-06-28T17:21:34,ax-pfa-refer-analyze-01,vignette,analyze,bereavement-support,10,missed,0,1,2.18,0,224.9
2026-06-28T17:22:47,u2-postmodern-evaluate-01,explain,evaluate,theory-families,60,missed,0,1,2.18,0,52.0
2026-06-28T17:23:26,ax-pfa-name-understand-01,explain,understand,bereavement-support,50,correct,0,1,2.6,1,29.0
2026-06-28T17:23:58,ax-pfa-grief-compare-01,compare,analyze,grief-models,5,missed,0,1,2.18,0,14.9
2026-06-28T17:24:31,ax-pfa-ring-apply-01,vignette,apply,bereavement-support,65,shaky,0,1,2.36,0,22.1
2026-06-28T17:25:42,u2-postmodern-apply-01,vignette,apply,theory-families,45,missed,0,1,2.18,0,55.3
2026-06-28T17:26:01,u2-differential-mcq-02,mcq,apply,theory-families,100,correct,0,1,2.6,1,15.7
2026-06-28T17:32:54,u2-familysystems-stuckbetter-01,explain,understand,theory-families,50,correct,0,1,2.6,1,33.1
2026-06-28T17:33:16,u2-cbt-cloze-01,cloze,remember,theory-families,90,correct,0,1,2.6,1,20.7
2026-06-28T17:34:16,u2-unitofanalysis-analyze-01,explain,analyze,theory-families,90,correct,0,1,2.6,1,52.9
2026-06-28T17:35:51,u2-psychodynamic-vs-cbt-compare-01,compare,analyze,theory-families,80,shaky,0,1,2.36,0,70.8
2026-06-28T17:37:20,u1-microskills-recall-01,recall,understand,microskill-types,50,shaky,1,1,2.36,0,78.6
2026-06-28T17:38:18,u2-psychodynamic-stuckbetter-01,explain,understand,theory-families,50,shaky,0,1,2.36,0,37.6
2026-06-28T17:39:09,u2-differential-mcq-05,mcq,apply,theory-families,90,correct,0,1,2.6,1,15.1
2026-06-28T17:39:53,u2-psychodynamic-cloze-01,cloze,remember,theory-families,15,correct,0,1,2.6,1,32.3
2026-06-28T17:44:57,u2-ellis-vs-beck-compare-01,compare,analyze,theory-families,10,missed,0,1,2.18,0,63.3
2026-06-28T17:46:09,u2-defense-apply-01,vignette,apply,theory-families,10,missed,0,1,2.18,0,26.0
2026-06-28T17:46:58,u2-postmodern-stuckbetter-01,explain,understand,theory-families,40,shaky,0,1,2.36,0,31.1
2026-06-28T17:47:40,u2-personcentered-cloze-01,cloze,remember,theory-families,35,shaky,0,1,2.36,0,39.0
2026-06-28T17:51:05,u2-sfbt-vs-narrative-compare-01,compare,analyze,theory-families,5,missed,0,1,2.18,0,153.8
2026-06-28T17:51:25,u2-differential-mcq-04,mcq,analyze,theory-families,100,correct,0,1,2.6,1,9.7
2026-06-28T17:51:55,u2-familysystems-cloze-01,cloze,remember,theory-families,10,shaky,0,1,2.36,0,26.8
2026-06-28T21:18:32,u2-differential-mcq-01,mcq,apply,theory-families,100,correct,0,1,2.6,1,11.4
2026-06-28T22:06:52,u2-stance-evaluate-01,explain,evaluate,theory-families,75,correct,0,1,2.6,1,2885.9
