timestamp,item_id,type,bloom_level,cluster,predicted_confidence,outcome,box_before,box_after,time_taken_s
2026-06-27T10:50:20,u1-microskills-recall-01,recall,understand,microskill-types,15,missed,1,1,45.9
2026-06-27T10:51:43,u1-contextual-understand-01,recall,understand,common-factors,40,missed,1,1,22.2
2026-06-27T10:52:14,u1-alliance-evidence-recall-01,recall,remember,common-factors,50,correct,1,2,25.5
2026-06-27T20:06:07,u1-bordin-apply-01,vignette,apply,alliance-components,15,shaky,1,1,128.7
2026-06-27T20:06:45,u1-upr-apply-01,vignette,apply,rogers-conditions,70,correct,1,2,30.0
2026-06-27T20:59:12,u1-bordin-cloze-01,cloze,remember,alliance-components,100,correct,1,2,60.9
2026-06-27T21:00:03,u1-upr-understand-01,explain,understand,rogers-conditions,90,correct,1,2,42.7
2026-06-27T21:00:54,u1-stance-evaluate-01,explain,evaluate,microskill-types,35,shaky,1,1,28.2
2026-06-27T21:04:16,u1-reflect-analyze-01,vignette,analyze,microskill-types,90,correct,1,2,155.4
2026-06-27T21:05:38,u1-commonfactors-evaluate-01,explain,evaluate,common-factors,75,shaky,1,1,61.3
2026-06-27T21:09:48,u1-empathy-analyze-01,compare,analyze,rogers-conditions,15,correct,1,2,118.9
2026-06-27T21:10:28,u1-coreconditions-evaluate-01,explain,evaluate,rogers-conditions,50,correct,1,2,29.1
2026-06-27T21:12:01,u1-attending-cloze-01,cloze,remember,microskill-types,40,missed,1,1,90.2
2026-06-27T21:12:48,u1-coreconditions-cloze-01,cloze,remember,rogers-conditions,30,missed,1,1,17.4
2026-06-27T21:15:39,u1-stance-apply-01,vignette,apply,microskill-types,90,correct,1,2,59.5
2026-06-27T21:16:13,u1-reflect-apply-01,vignette,apply,microskill-types,100,correct,1,2,27.3
2026-06-27T21:18:57,u1-bordin-understand-01,explain,understand,alliance-components,75,correct,1,2,115.9
